Basket Holdings: 31AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
LIN,Linde PLC,22.11
SHW,Sherwin-Williams Co,8.34
APD,Air Products & Chemicals Inc,6.99
ECL,Ecolab Inc,6.74
FCX,Freeport-McMoRan Inc,5.27
NEM,Newmont Corp,4.85
CTVA,Corteva Inc,4.3
DD,DuPont de Nemours Inc,3.4
VMC,Vulcan Materials Co,3.25
NUE,Nucor Corp,3.21
IP,International Paper Co,2.94
MLM,Martin Marietta Materials Inc,2.94
DOW,Dow Inc,2.65
PPG,PPG Industries Inc,2.61
SW,Smurfit WestRock PLC,2.56
IFF,International Flavors & Fragrances Inc,2.08
LYB,LyondellBasell Industries NV Class A,1.98
STLD,Steel Dynamics Inc,1.9
PKG,Packaging Corp of America,1.89
BALL,Ball Corp,1.56
AVY,Avery Dennison Corp,1.5
AMCR,Amcor PLC Ordinary Shares,1.45
CF,CF Industries Holdings Inc,1.4
EMN,Eastman Chemical Co,1.13
ALB,Albemarle Corp,0.9
MOS,The Mosaic Co,0.76
CE,Celanese Corp Class A,0.55
FMC,FMC Corp,0.46
,Xab Materials Mar25 Xcme 20250321,0.2
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.06
,Usd,0.01
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,